country,report_year,occurrence,human_cases,human_deaths
Aruba,2011,no_information_available,no information,no information
Aruba,2012,no_information_available,no information,no information
Aruba,2013,no_information_available,no information,no information
Afghanistan,2005,no_information_available,no information,no information
Afghanistan,2006,no_information_available,no information,no information
Afghanistan,2007,no_information_available,no information,no information
Afghanistan,2008,no_information_available,no information,no information
Afghanistan,2009,no_information_available,no information,no information
Afghanistan,2010,no_information_available,no information,no information
Afghanistan,2011,no_information_available,no information,no information
Angola,2005,no_information_available,no information,no information
Angola,2006,no_information_available,no information,no information
Angola,2008,no_information_available,no information,no information
Angola,2009,no_information_available,no information,no information
Angola,2010,no_information_available,no information,no information
Angola,2012,no_information_available,no information,no information
Angola,2013,no_information_available,no information,no information
Angola,2014,no_information_available,no information,no information
Angola,2015,no_information_available,no information,no information
Angola,2017,no_information_available,no information,no information
Albania,2006,no_information_available,no information,no information
Albania,2007,no_information_available,no information,no information
Albania,2008,no_information_available,no information,no information
Albania,2009,no_information_available,no information,no information
Albania,2011,no_information_available,no information,no information
Albania,2013,no_information_available,no information,no information
Albania,2014,no_information_available,no information,no information
Albania,2015,no_information_available,no information,no information
Albania,2016,no_information_available,no information,no information
United Arab Emirates,2005,no_information_available,no information,no information
United Arab Emirates,2006,no_information_available,no information,no information
United Arab Emirates,2007,no_information_available,no information,no information
United Arab Emirates,2009,no_information_available,no information,no information
United Arab Emirates,2010,no_information_available,no information,no information
United Arab Emirates,2011,no_information_available,no information,no information
United Arab Emirates,2015,no_information_available,no information,no information
United Arab Emirates,2016,no_information_available,no information,no information
United Arab Emirates,2017,no_information_available,no information,no information
United Arab Emirates,2018,no_information_available,no information,no information
Armenia,2005,no_information_available,no information,no information
Armenia,2006,no_information_available,no information,no information
Armenia,2007,no_information_available,no information,no information
Armenia,2008,no_information_available,no information,no information
Armenia,2016,no_information_available,no information,no information
Armenia,2017,no_information_available,no information,no information
Armenia,2018,no_information_available,no information,no information
Austria,2007,no_information_available,no information,no information
Austria,2008,no_information_available,no information,no information
Azerbaijan,2008,no_information_available,no information,no information
Azerbaijan,2009,no_information_available,no information,no information
Azerbaijan,2010,no_information_available,no information,no information
Azerbaijan,2012,no_information_available,no information,no information
Burundi,2005,no_information_available,no information,no information
Belgium,2011,no_information_available,no information,no information
Belgium,2012,no_information_available,no information,no information
Belgium,2013,no_information_available,no information,no information
Belgium,2014,no_information_available,no information,no information
Benin,2005,no_information_available,no information,no information
Benin,2006,no_information_available,no information,no information
Benin,2007,no_information_available,no information,no information
Benin,2009,no_information_available,no information,no information
Benin,2010,no_information_available,no information,no information
Benin,2011,no_information_available,no information,no information
Benin,2012,no_information_available,no information,no information
Benin,2013,no_information_available,no information,no information
Benin,2014,no_information_available,no information,no information
Burkina Faso,2005,no_information_available,no information,no information
Burkina Faso,2006,no_information_available,no information,no information
Burkina Faso,2007,no_information_available,no information,no information
Burkina Faso,2008,no_information_available,no information,no information
Burkina Faso,2014,no_information_available,no information,no information
Burkina Faso,2015,no_information_available,no information,no information
Burkina Faso,2016,no_information_available,no information,no information
Burkina Faso,2017,no_information_available,no information,no information
Burkina Faso,2018,no_information_available,no information,no information
Bangladesh,2007,no_information_available,no information,no information
Bangladesh,2008,no_information_available,no information,no information
Bangladesh,2009,no_information_available,no information,no information
Bangladesh,2010,no_information_available,no information,no information
Bangladesh,2011,no_information_available,no information,no information
Bangladesh,2012,no_information_available,no information,no information
Bangladesh,2013,no_information_available,no information,no information
Bangladesh,2014,no_information_available,no information,no information
Bangladesh,2015,no_information_available,no information,no information
Bangladesh,2016,no_information_available,no information,no information
Bangladesh,2017,no_information_available,no information,no information
Bangladesh,2018,no_information_available,no information,no information
Bulgaria,2017,no_information_available,no information,no information
Bahrain,2005,no_information_available,no information,no information
Bahrain,2006,no_information_available,no information,no information
Bahrain,2007,no_information_available,no information,no information
Bahrain,2008,no_information_available,no information,no information
Bahrain,2009,no_information_available,no information,no information
Bahrain,2010,no_information_available,no information,no information
Bahrain,2011,no_information_available,no information,no information
Bahrain,2012,no_information_available,no information,no information
Bosnia and Herzegovina,2006,no_information_available,no information,no information
Bosnia and Herzegovina,2007,no_information_available,no information,no information
Bosnia and Herzegovina,2013,no_information_available,no information,no information
Bosnia and Herzegovina,2014,no_information_available,no information,no information
Belarus,2005,no_information_available,no information,no information
Belarus,2006,no_information_available,no information,no information
Belarus,2008,no_information_available,no information,no information
