id,preferred_label,synonyms,class_desc
ag212,[],NA,pathogen
ag22,[],NA,pathogen
ag282,[],NA,pathogen
ag501,abalone icosahedral virus,NA,pathogen
ma391,abalone icosahedral virus disease,NA,disease group
mh481,abalone icosahedral virus disease (mollusc),abalone icosahedral virus disease,disease specific
ma266,abcedative pneumonia,NA,disease group
mh364,abcedative pneumonia (swine),abcedative pneumonia,disease specific
ma150,abortion in ewes,NA,disease group
mh32,"abortion in ewes (sheep, goat)",abortion in ewes,disease specific
mh32,"abortion in ewes (sheep, goat)",ovine chlamydiosis,disease specific
acanthocephale,acanthocephale,NA,NA
ma328,acanthocephaliasis,NA,disease group
mh500,acanthocephaliasis (poultry),acanthocephala infestation,disease specific
mh500,acanthocephaliasis (poultry),acanthocephala disease,disease specific
mh500,acanthocephaliasis (poultry),acanthocephaliasis,disease specific
mh2,acanthocephaliasis (swine),acanthocephaliasis,disease specific
mh1,acanthocephalosis (fish),acanthocephalosis,disease specific
ag400,acanthocephalus spp.,NA,pathogen
ag258,acarapis woodi,NA,pathogen
ma205,acarapisosis,NA,disease group
mh3,acarapisosis (bee),honey bee tracheal mite,disease specific
mh3,acarapisosis (bee),acarapisosis,disease specific
acarien,acarien,NA,NA
ag471,achlya spp.,NA,pathogen
ag268,achroea grisella,NA,pathogen
ma1,actinobacillosis,NA,disease group
ma273,actinobacillosis,NA,disease group
mh4,actinobacillosis (cattle),actinobacillosis,disease specific
mh4,actinobacillosis (cattle),wooden tongue,disease specific
mh5,"actinobacillosis (sheep, goat)",wood tongue,disease specific
mh5,"actinobacillosis (sheep, goat)",actinobacillosis,disease specific
mh5,"actinobacillosis (sheep, goat)",sub cutaneous actinobacillosis,disease specific
mh397,actinobacillosis (swine),actinobacillosis,disease specific
ag1,actinobacillus lignieresii,NA,pathogen
ag293,actinobacillus pleuropneumoniae,NA,pathogen
ag328,actinobacillus suis,NA,pathogen
ag2,actinomyces bovis,NA,pathogen
ag322,actinomyces pyogenes,NA,pathogen
ma2,actinomycosis,NA,disease group
mh6,actinomycosis (cattle),actinomycosis,disease specific
ag535,acuaria spiralis,NA,pathogen
ma221,acute bee paralysis virus,NA,disease group
ag281,acute bee paralysis virus,apv,pathogen
ag281,acute bee paralysis virus,acute paralysis virus,pathogen
ag281,acute bee paralysis virus,abpv,pathogen
mh486,acute bee paralysis virus (bee),acute bee paralysis virus,disease specific
ma222,acute paralysis virus,NA,disease group
mh485,acute paralysis virus (bee),acute paralysis virus,disease specific
ag537,adenovirus group 2,NA,pathogen
ma428,adenovirus-associated haemorrhagic disease,NA,disease group
mh557,adenovirus-associated haemorrhagic disease (poultry),adenovirus-associated haemorrhagic disease,disease specific
ag398,aerococcus viridans,NA,pathogen
ag353,aeromonas,NA,pathogen
ma298,aeromonas infection,NA,disease group
mh9,aeromonas infection (fish),aeromonas infection,disease specific
ag362,aeromonas salmonicida,NA,pathogen
ag266,aethina tumida,NA,pathogen
ma146,aflatoxicosis,NA,disease group
mh502,aflatoxicosis (poultry),aflatoxicosis,disease specific
mh11,"aflatoxicosis (sheep, goat)",aflatoxicosis,disease specific
ag181,aflatoxin,NA,pathogen
ma263,african swine fever,NA,disease group
mh349,african swine fever (swine),african swine fever,disease specific
mh349,african swine fever (swine),asf,disease specific
ag320,african swine fever virus,asfv,pathogen
ag228,akabane virus,NA,pathogen
ma183,akabane virus infection,NA,disease group
mh256,"akabane virus infection (sheep, goat)",akabane virus infection,disease specific
ma393,alcaligenes faecalis infection,NA,disease group
mh503,alcaligenes faecalis infection (poultry),alcaligenes faecalis infection,disease specific
ag504,alcaligenes fecalis,NA,pathogen
ma217,american fool brood,NA,disease group
mh249,american fool brood (bee),american fool brood,disease specific
mh249,american fool brood (bee),afb,disease specific
ma394,amidostomosis,NA,disease group
mh504,amidostomosis (poultry),amidostomosis,disease specific
ag505,amidostomum anseris,NA,pathogen
ma329,amoebic gill disease,NA,disease group
mh13,amoebic gill disease (fish),amoebic gill disease,disease specific
mh13,amoebic gill disease (fish),agd,disease specific
ag467,amyloodinium ocellatum,NA,pathogen
ag4,anaplasma marginale,NA,pathogen
ag186,anaplasma mesaeterum,NA,pathogen
ag185,anaplasma ovis,NA,pathogen
ag5,anaplasma phagocytophilum,NA,pathogen
mh16,"anaplasmosis (sheep, goat)",ehrlichiosis,disease specific
mh16,"anaplasmosis (sheep, goat)",anaplasmosis,disease specific
mh16,"anaplasmosis (sheep, goat)",granulocytic ehrlichiosis,disease specific
mh16,"anaplasmosis (sheep, goat)",tick fever,disease specific
mh16,"anaplasmosis (sheep, goat)",anaplasmosis,disease specific
ag760,anatid herpesvirus 1,NA,pathogen
ma338,anchor worm,NA,disease group
mh242,anchor worm (fish),anchor worm,disease specific
ag465,angiostrogylus cantonensis,NA,pathogen
ma364,angiostrongylosis,NA,disease group
mh19,angiostrongylosis (crustacean),angiostrongylosis,disease specific
mh20,angiostrongylosis (fish),angiostrongylosis,disease specific
ag454,anguillicola crassus,NA,pathogen
ma357,anguillicolosis,NA,disease group
mh21,anguillicolosis (fish),anguillicolosis,disease specific
ag347,anguillid herpesvirus 1,japanese eel hv,pathogen
ag347,anguillid herpesvirus 1,anghv-1,pathogen
ma292,anguillid herpesvirus 1 related disease,NA,disease group
mh212,anguillid herpesvirus 1 related disease (fish),anguillid herpesvirus 1 related disease,disease specific
ma361,anisakiasis,NA,disease group
mh22,anisakiasis (fish),anisakiasis,disease specific
ag458,anisakis spp.,NA,pathogen
annelide_hirudine,annelide_hirudine,NA,NA
ag127,anoplocephala magna,NA,pathogen
ag126,anoplocephala perfoliata,NA,pathogen
ma30,anthrax,NA,disease group
mh167,anthrax (cattle),anthrax,disease specific
mh168,anthrax (equidae),,disease specific
mh168,anthrax (equidae),anthrax,disease specific
mh169,"anthrax (sheep, goat)",splenic fever,disease specific
mh169,"anthrax (sheep, goat)",anthrax,disease specific
mh169,"anthrax (sheep, goat)",siberian ulcer,disease specific
mh169,"anthrax (sheep, goat)",milzbrand,disease specific
mh169,"anthrax (sheep, goat)",charbon,disease specific
mh170,anthrax (swine),anthrax,disease specific
ag492,aphanomyces astaci,NA,pathogen
ag475,aphanomyces invadans,NA,pathogen
apicomplexe,apicomplexe,NA,NA
ma207,apimyasis,NA,disease group
mh302,apimyasis (bee),apimyasis,disease specific
ag69,arcanobacterium pyogenes,NA,pathogen
ag404,argulus foliaceus,NA,pathogen
ag405,argulus spp.,NA,pathogen
ma223,arkansas bee virus,NA,disease group
mh488,arkansas bee virus (bee),arkansas bee virus,disease specific
ma268,arthritis,NA,disease group
mh25,arthritis (swine),arthritis,disease specific
mh27,ascariasis (swine),roundworm infection,disease specific
mh27,ascariasis (swine),ascariasis,disease specific
ag739,ascaridia,heterakis,pathogen
ma237,ascaridiosis,NA,disease group
mh509,ascaridiosis (poultry),ascaridiosis,disease specific
ag294,ascaris suum,NA,pathogen
ascomycete,ascomycete,NA,NA
ag273,ascosphaera apis,NA,pathogen
ma331,asian fish tapeworm,NA,disease group
mh39,asian fish tapeworm (fish),asian fish tapeworm,disease specific
ma214,asian hornet,NA,disease group
mh178,asian hornet (bee),asian hornet,disease specific
ma5,aspergillosis,NA,disease group
mh30,aspergillosis (bee),aspergillosis,disease specific
mh30,aspergillosis (bee),stonebrood,disease specific
mh29,aspergillosis (cattle),aspergillosis,disease specific
mh510,aspergillosis (poultry),aspergillosis,disease specific
mh510,aspergillosis (poultry),brooder pneumonia,disease specific
mh510,aspergillosis (poultry),pneumomycosis,disease specific
mh510,aspergillosis (poultry),mycotic pneumonia,disease specific
mh31,aspergillosis (rabbit),aspergillosis,disease specific
ag450,aspergillus,NA,pathogen
ag271,aspergillus flavus,NA,pathogen
ag6,aspergillus fumigatus,NA,pathogen
ag508,aspergillus glaucus,NA,pathogen
ag131,aspergillus niger,NA,pathogen
ag272,aspergillus spp.,NA,pathogen
ma269,atrophic rhinitis,NA,disease group
mh382,atrophic rhinitis (swine),atrophic rhinitis,disease specific
ma196,atypical pneumonia,NA,disease group
mh365,"atypical pneumonia (sheep, goat)",atypical pneumonia,disease specific
mh365,"atypical pneumonia (sheep, goat)",non invasive pneumonia,disease specific
mh259,aujesky's disease (rabbit),aujesky's disease,disease specific
ma45,aujeszky's disease,NA,disease group
mh257,"aujeszky's disease (sheep, goat)",aujeszky's disease,disease specific
mh257,"aujeszky's disease (sheep, goat)",pseudorabies,disease specific
ag60,aujeszky's disease virus,prv,pathogen
ag60,aujeszky's disease virus,sufv-1,pathogen
ag60,aujeszky's disease virus,suid herpesvirus,pathogen
ag60,aujeszky's disease virus,prb,pathogen
ag60,aujeszky's disease virus,pseudorabies virus,pathogen
ag523,avian adenovirus,NA,pathogen
ag526,avian adenovirus group 1,NA,pathogen
ag503,avian adenovirus group 1 & 2,NA,pathogen
mh501,avian adenovirus infection (poultry),avian adenovirus infection,disease specific
mh539,avian campylobacter infection (poultry),avian vibrionic hepatitis,disease specific
mh539,avian campylobacter infection (poultry),avian campylobacter infection,disease specific
ma13,avian chlamydiosis,NA,disease group
mh519,avian chlamydiosis (poultry),avian chlamydiosis,disease specific
mh519,avian chlamydiosis (poultry),psittacosis,disease specific
mh519,avian chlamydiosis (poultry),parrot fever,disease specific
mh519,avian chlamydiosis (poultry),ornithosis,disease specific
ma408,avian encephalomyelitis avian encephalomyelitis,NA,disease group
mh533,avian encephalomyelitis avian encephalomyelitis (poultry),avian encephalomyelitis avian encephalomyelitis,disease specific
mh533,avian encephalomyelitis avian encephalomyelitis (poultry),epidemic tremor,disease specific
ag522,avian encephalomyelitis virus avian encephalomyelitis virus,ae virus,pathogen
ma399,avian infectious bronchitis,NA,disease group
mh513,avian infectious bronchitis (poultry),avian infectious bronchitis,disease specific
ma420,avian infectious laryngotracheitis,NA,disease group
mh548,avian infectious laryngotracheitis (poultry),avian infectious laryngotracheitis,disease specific
ma418,avian influenza,NA,disease group
mh546,avian influenza (poultry),avian influenza,disease specific
ag728,avian influenza virus,NA,pathogen
ag732,avian leukosis virus,alv,pathogen
ag727,avian metapneumovirus,NA,pathogen
ag538,avian metapneumovirus,ampv,pathogen
ma431,avian nephritis viral infection,NA,disease group
mh562,avian nephritis viral infection (poultry),avian nephritis viral infection,disease specific
ma438,avian salmonellosis,NA,disease group
mh569,avian salmonellosis (poultry),avian salmonellosis,disease specific
ma444,avian trichomoniasis,NA,disease group
mh581,avian trichomoniasis (poultry),avian trichomoniasis,disease specific
ma446,avian tuberculosis,NA,disease group
mh583,avian tuberculosis (poultry),,disease specific
mh583,avian tuberculosis (poultry),avian tuberculosis,disease specific
ag516,avibacterium paragallinarum,NA,pathogen
ag547,avipoxvirus,fowlpox virus,pathogen
ag8,babesia bigemina,NA,pathogen
ag7,babesia bovis,NA,pathogen
ag9,babesia divergens,NA,pathogen
ag190,babesia motasi,NA,pathogen
ag191,babesia ovis,NA,pathogen
ma151,babesiosis,NA,disease group
mh34,"babesiosis (sheep, goat)",piroplasmosis,disease specific
mh34,"babesiosis (sheep, goat)",babesiosis,disease specific
mh204,bacillary hemoglobinuria (cattle),red water disease,disease specific
mh204,bacillary hemoglobinuria (cattle),bacillary hemoglobinuria,disease specific
ag40,bacillus anthracis,NA,pathogen
ag276,bacillus apisepticus burnside,NA,pathogen
mh380,bacterial kidney disease (fish),bkd,disease specific
