class_id,preferred_label,synonyms,obsolete,parents
http://opendata.inra.fr/AnimalDiseasesOnto/MA67,Infectious bovine rhinotracheitis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH298,Mycoplasmosis (Rabbit),Mycoplasmosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA53
http://opendata.inra.fr/AnimalDiseasesOnto/AG467,Amyloodinium ocellatum,NA,FALSE,http://www.w3.org/2002/07/Dinoflagellé
http://opendata.inra.fr/AnimalDiseasesOnto/MH360,Pleistophorosis (Fish),Pleistophorosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA366
http://opendata.inra.fr/AnimalDiseasesOnto/MH431,Flavobacteriosis (Fish),Flavobacteriosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA319
http://opendata.inra.fr/AnimalDiseasesOnto/AG212,[],NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/virus
http://opendata.inra.fr/AnimalDiseasesOnto/MA56,Neosporosis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/AG357,Candidatus arthromitus,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/bacterie
http://opendata.inra.fr/AnimalDiseasesOnto/MH250,European fool brood (Bee),European fool brood|EFB,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA216
http://opendata.inra.fr/AnimalDiseasesOnto/AG259,Malpighamoeba mellificae,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/protozoaire
http://opendata.inra.fr/AnimalDiseasesOnto/MH59,"Blackleg (Sheep, Goat)",Blackleg|Malignant oedema,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA12
http://opendata.inra.fr/AnimalDiseasesOnto/MH366,"Enzootic pneumonia (Sheep, Goat)",Enzootic pneumonia|Respiratory pasteurellosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA192
http://opendata.inra.fr/AnimalDiseasesOnto/AG535,Acuaria spiralis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/parasite
http://opendata.inra.fr/AnimalDiseasesOnto/AG425,Diplostomum spp.,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/trematode
http://opendata.inra.fr/AnimalDiseasesOnto/AG742,Parafilaria bovicola,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/parasite
http://opendata.inra.fr/AnimalDiseasesOnto/MH532,West Nile Virus Infection (Poultry),West Nile Virus Infection,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA89
http://opendata.inra.fr/AnimalDiseasesOnto/AG701,Taenia saginata,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/parasite
http://opendata.inra.fr/AnimalDiseasesOnto/AG50,Clostridium novyi type B,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/bacterie
http://opendata.inra.fr/AnimalDiseasesOnto/MA179,Paspalum staggers,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH197,Strangles (Equidae),Strangles,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA95
http://opendata.inra.fr/AnimalDiseasesOnto/MH473,Ovine pox disease (Goat),Ovine pox disease,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA156
http://opendata.inra.fr/AnimalDiseasesOnto/AG748,Bovine papular stomatitis virus,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/virus
http://opendata.inra.fr/AnimalDiseasesOnto/MA345,Gyrodactylosis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MA413,Inclusion Body Hepatitis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH141,Necrotic enteritis (Swine),Necrotic enteritis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA247
http://opendata.inra.fr/AnimalDiseasesOnto/AG310,porcine circovirus type 2 viruses,PCV2,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/virus
http://opendata.inra.fr/AnimalDiseasesOnto/MA123,Encephalitozoonosis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/acanthocephale,acanthocephale,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/PathogenicAgent
http://opendata.inra.fr/AnimalDiseasesOnto/MH344,Perkinsosis (Mollusc),Perkinsosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA381
http://opendata.inra.fr/AnimalDiseasesOnto/AG77,Corynebacterium renale,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/bacterie
http://opendata.inra.fr/AnimalDiseasesOnto/MH20,Angiostrongylosis (Fish),Angiostrongylosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA364
http://opendata.inra.fr/AnimalDiseasesOnto/MH510,Aspergillosis (Poultry),Aspergillosis|Brooder pneumonia|Pneumomycosis|Mycotic pneumonia,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA5
http://opendata.inra.fr/AnimalDiseasesOnto/herpèsvirus_probable,herpèsvirus_probable,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/PathogenicAgent
http://opendata.inra.fr/AnimalDiseasesOnto/MA149,Nonsuppurative polyarthritis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MA69,Hemorrhagic septicemia,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH161,Wax moth (Bee),tubular brood|Wax moth|bald brood|Honeycomb moth,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA212
http://opendata.inra.fr/AnimalDiseasesOnto/AG336,"Cyprinid herpesvirus 3 (CyHV-3), Koi herpesvirus (KHV)",NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/herpesvirus
http://opendata.inra.fr/AnimalDiseasesOnto/AG122,Hendra Virus,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/virus
http://opendata.inra.fr/AnimalDiseasesOnto/MA101,Equine contagious mastitis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MA58,Bovine Papillomavirus infection,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH167,Anthrax (Cattle),Anthrax,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA30
http://opendata.inra.fr/AnimalDiseasesOnto/MH484,Black Queen cell virus (Bee),Black Queen cell virus|BQCV,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA225
http://opendata.inra.fr/AnimalDiseasesOnto/MH386,Granulomatous disease (Fish),Granulomatous disease,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA318
http://opendata.inra.fr/AnimalDiseasesOnto/MA356,Visceral mycosis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH552,Goose Parvovirus Infection (Poultry),Derzsy disease|Goose Parvovirus Infection|Goose plague|Goose hepatitis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA423
http://opendata.inra.fr/AnimalDiseasesOnto/MH276,Lymphocystis (Fish),Lymphocystis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA287
http://opendata.inra.fr/AnimalDiseasesOnto/MA424,Marble Spleen Disease,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MA205,Acarapisosis,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH70,Coenurosis (Rabbit),Coenurosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA118
http://opendata.inra.fr/AnimalDiseasesOnto/AG445,Monocotylidae,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Monogene
http://opendata.inra.fr/AnimalDiseasesOnto/MH442,Theileriases (Cattle),Theileriases,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA76
http://opendata.inra.fr/AnimalDiseasesOnto/MH5,"Actinobacillosis (Sheep, Goat)",Wood tongue|Actinobacillosis|sub cutaneous actinobacillosis,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA1
http://opendata.inra.fr/AnimalDiseasesOnto/MA121,Fasciola,NA,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/Disease
http://opendata.inra.fr/AnimalDiseasesOnto/MH187,Sporadic scabies (Rabbit),Sporadic scabies|Ear rabies,FALSE,http://opendata.inra.fr/AnimalDiseasesOnto/MA175
